GPU time: 12725.382s for 4571
building_id,mean,std,%>18,%<15
44659,16.3563,6.8423,47.8,42.4
44660,13.9323,7.5473,35.5,57.7
4468,19.1095,6.1527,67.2,24.5
44689,15.3233,7.2483,43.1,48.2
4469,12.1208,7.0662,26.0,67.2
44698,14.4589,7.5075,38.7,54.1
447,11.9990,6.5134,23.2,68.2
44730,15.3304,7.2078,42.9,48.4
44732,14.4847,7.5114,38.9,54.0
4474,14.9147,6.8041,39.2,51.0
4475,16.0582,6.9305,45.9,44.5
4479,13.3509,6.7653,30.1,60.1
44799,15.2456,7.2847,42.7,48.6
4480,13.5866,6.8987,32.4,59.4
44807,13.5745,7.3203,33.8,58.8
4483,15.5595,7.1161,44.8,46.1
4484,12.3850,6.6909,25.1,66.8
44843,15.2830,7.2674,42.9,48.4
44848,14.4680,7.5053,38.8,54.0
4485,14.3719,7.2374,36.9,55.0
44871,15.3606,6.8966,44.4,45.9
44874,15.3853,6.3938,39.7,46.0
4489,16.0036,6.6264,46.9,42.3
44894,15.3691,6.9077,44.4,46.0
44897,14.1463,7.0749,35.9,53.9
44906,15.3641,6.8685,44.5,45.7
44907,14.0876,7.1895,35.8,54.2
44928,14.5362,6.8163,36.9,52.1
44932,14.4132,7.0491,39.9,51.3
44946,15.3530,6.8822,44.4,45.9
44947,15.3547,6.4001,39.5,46.2
44959,15.3758,6.8774,44.6,45.6
44962,16.0581,6.6705,45.3,42.9
45000,14.5803,6.8564,36.9,52.2
45001,14.4625,7.0952,40.2,51.1
45022,14.6333,6.8405,37.2,51.8
45024,14.4006,7.0614,39.7,51.5
45034,14.3294,7.3406,38.9,53.4
45036,14.6133,6.7364,38.3,51.4
45065,12.8241,6.3947,26.9,63.5
45071,12.4216,6.5607,25.0,66.8
45073,15.4799,7.3899,43.7,48.9
45087,16.5343,7.6291,52.0,41.2
45089,12.9601,6.3818,28.7,61.5
45094,12.2836,6.2261,22.7,68.8
45199,12.9467,6.4852,29.1,61.2
45200,12.3656,6.2249,22.9,68.3
45202,15.2207,7.3848,44.0,47.6
45274,16.8985,6.9491,51.5,39.1
45291,17.4796,6.9816,54.8,36.6
45294,17.4601,6.9927,54.7,36.6
45317,16.0203,7.1400,46.3,44.5
45323,16.9797,6.9469,52.0,38.9
45339,16.0076,7.1276,46.6,43.8
45364,16.1989,7.0723,47.1,43.1
45383,17.9947,7.0006,58.8,33.3
45397,16.4477,7.0091,48.1,42.5
45563,15.0319,7.0297,39.8,48.8
45566,13.5416,6.7424,32.1,57.4
45570,15.0096,7.0163,39.6,49.0
45574,13.0495,6.7334,29.4,60.7
45576,16.4735,6.7834,48.5,41.5
45577,16.5185,6.7422,48.7,41.3
45583,18.1171,6.4754,59.2,31.4
45585,18.1088,6.4734,59.1,31.4
45588,16.7759,6.6937,50.3,39.4
45589,16.5060,6.7614,48.7,41.3
45597,14.1767,6.5940,36.1,52.2
45605,14.6041,6.7589,37.8,51.6
4561,12.4208,6.4402,24.0,67.5
45613,15.0328,7.0839,40.1,48.5
45619,12.9235,6.8884,29.9,61.6
45624,15.8856,6.6563,43.4,44.9
45631,13.1941,7.4395,32.2,60.5
45633,13.7337,6.6836,31.8,57.3
45644,16.7504,6.7181,50.3,39.6
45646,16.5255,6.7709,48.8,41.2
4565,12.6645,6.4728,25.2,66.3
45650,14.8239,7.0251,38.5,50.5
45658,14.8513,7.0937,39.3,50.3
45661,13.2081,7.4084,32.2,60.5
45663,16.5150,6.7529,48.6,41.4
45664,16.5925,6.7042,48.9,41.0
45668,16.1129,6.7810,46.3,43.6
45670,16.1971,6.9140,47.1,42.7
45677,15.1505,7.1561,41.5,47.8
45683,14.7127,7.1495,38.7,50.7
4569,12.3204,6.7848,26.5,65.2
45692,15.8795,6.6639,43.3,44.9
45702,13.6946,7.0565,33.8,56.6
45704,14.5132,7.9192,40.1,53.1
45713,12.8598,6.9437,29.9,61.0
45715,14.9122,7.0761,39.4,49.7
45724,18.1620,6.4408,59.4,31.1
45726,18.0247,6.5444,58.9,31.9
45727,15.1646,6.9493,40.1,48.4
45731,12.9917,6.8434,29.5,61.4
45741,15.3609,7.4772,44.0,46.9
45745,16.1903,6.9123,47.1,43.0
45746,16.0407,6.9708,46.4,43.9
45747,16.0950,7.0527,45.4,45.2
45749,15.6182,7.4501,44.4,47.3
45750,16.0758,7.0565,45.2,45.3
45751,17.0540,6.6923,52.2,37.6
45752,14.4577,7.1659,37.9,53.7
45753,16.3461,7.4697,50.1,42.7
45754,17.2548,7.0600,54.9,36.7
45755,15.6719,7.5981,46.1,46.9
45757,17.0932,6.8671,52.2,38.1
45758,15.8867,7.4188,45.8,45.6
45759,16.3590,7.1492,47.8,42.7
45760,14.7910,7.4533,39.5,51.9
45761,14.9959,7.2847,40.0,51.2
45763,16.3505,7.1357,47.7,43.0
45769,16.7156,6.7530,50.0,39.6
45772,15.4075,7.1115,42.3,49.2
45773,15.6855,7.1863,44.2,46.8
45774,16.4970,7.4727,50.5,42.1
45775,17.0125,7.0237,52.3,37.8
45777,15.8717,7.6054,47.7,45.4
45778,17.1114,6.8678,52.3,38.0
45779,16.0519,7.1850,46.4,44.9
4578,12.6262,6.5048,25.2,66.4
45780,15.6422,7.1445,42.8,48.7
45781,15.8012,7.1118,43.6,47.8
45783,15.2911,7.7479,45.0,48.4
45784,16.5374,7.1884,48.7,43.4
45785,15.3329,7.3381,42.2,50.0
45786,14.0862,7.0090,34.0,56.9
45788,15.4445,7.1399,42.4,48.5
45789,17.3448,7.1580,54.1,38.5
45790,15.2481,7.7718,43.8,49.7
45793,15.2886,7.8009,44.3,49.2
45794,15.8776,7.6646,47.6,45.8
45795,17.2582,7.1994,53.6,38.2
45796,16.8300,6.7912,51.9,38.4
45797,16.0597,7.1071,46.4,44.5
45802,15.0350,7.0102,39.1,51.1
45804,14.0662,6.7511,32.9,56.9
4581,13.0651,7.1615,30.9,61.2
45812,16.0709,7.4045,47.2,45.3
45813,16.6019,7.0909,49.1,42.5
45814,17.2371,6.9192,53.8,37.4
45815,16.7079,7.3260,50.6,42.4
45816,17.4531,7.0173,55.1,36.4
45817,17.5836,6.9601,55.7,35.6
45819,14.1534,7.9175,38.4,55.2
45820,15.3449,7.2305,41.6,50.5
45821,15.3240,7.2813,41.7,50.5
45822,14.1346,7.8818,38.3,55.3
45823,15.2043,7.5266,42.5,49.6
45824,15.8433,7.0610,44.9,45.4
45825,15.6070,7.2756,43.1,49.0
45826,14.1691,7.9234,38.5,55.1
45827,15.8273,7.0527,44.9,45.4
45828,15.3601,7.2615,41.8,50.4
45829,15.4078,7.2569,42.0,50.2
45830,14.0816,7.8897,38.0,55.4
45831,15.1856,7.5290,42.4,49.8
45832,15.5904,7.2651,43.0,49.1
45834,13.2668,6.8860,30.2,61.3
45837,14.0903,7.0076,34.0,56.9
45839,15.4633,7.0940,42.3,48.8
45842,16.0171,7.2663,46.7,44.9
45844,15.6950,7.1504,44.6,46.5
459,14.1646,7.0616,36.7,53.4
46073,10.8461,6.1186,17.1,71.9
46076,10.8279,6.1021,16.9,72.1
461,15.6458,6.9225,43.7,44.8
